央视,#genre#
CCTV1高清,http://ygbh.site/php/bfgd.php?id=201
CCTV1高清,http://ygbh.site/php/bfgd.php?id=484
CCTV1高清,http://ygbh.site/php/bfgd.php?id=488
CCTV1高清,http://ygbh.site/php/bfgd.php?id=489
CCTV2高清,http://ygbh.site/php/bfgd.php?id=061
CCTV3高清,http://ygbh.site/php/bfgd.php?id=062
CCTV4高清,http://ygbh.site/php/bfgd.php?id=063
CCTV5高清,http://ygbh.site/php/bfgd.php?id=064
CCTV5+高清,http://ygbh.site/php/bfgd.php?id=246
CCTV6高清,http://ygbh.site/php/bfgd.php?id=065
CCTV7高清,http://ygbh.site/php/bfgd.php?id=127
CCTV8高清,http://ygbh.site/php/bfgd.php?id=066
CCTV9高清,http://ygbh.site/php/bfgd.php?id=128
CCTV10高清,http://ygbh.site/php/bfgd.php?id=129
CCTV11高清,http://ygbh.site/php/bfgd.php?id=130
CCTV12高清,http://ygbh.site/php/bfgd.php?id=131
CCTV13高清,http://ygbh.site/php/bfgd.php?id=067
CCTV14高清,http://ygbh.site/php/bfgd.php?id=132
CCTV15高清,http://ygbh.site/php/bfgd.php?id=133
CCTV17高清,http://ygbh.site/php/bfgd.php?id=204
CETV1高清,http://ygbh.site/php/bfgd.php?id=135
CETV2,http://ygbh.site/php/bfgd.php?id=492
CGTN,http://ygbh.site/php/bfgd.php?id=134
CGTN西班牙语,http://ygbh.site/php/bfgd.php?id=306
CGTN阿拉伯语,http://ygbh.site/php/bfgd.php?id=308
CGTN法语,http://ygbh.site/php/bfgd.php?id=307
CGTN,http://ygbh.site/php/bfgd.php?id=305
CGTN俄语,http://ygbh.site/php/bfgd.php?id=309
求索动物,http://ygbh.site/php/bfgd.php?id=287
求索生活,http://ygbh.site/php/bfgd.php?id=288
求索地理,http://ygbh.site/php/bfgd.php?id=286
国学频道,http://ygbh.site/php/bfgd.php?id=169
发现之旅,http://ygbh.site/php/bfgd.php?id=151
老故事,http://ygbh.site/php/bfgd.php?id=166
女性时尚,http://ygbh.site/php/bfgd.php?id=176
世界地理,http://ygbh.site/php/bfgd.php?id=177

卫视,#genre#
江苏卫视高清,http://ygbh.site/php/bfgd.php?id=085
天津卫视高清,http://ygbh.site/php/bfgd.php?id=084
湖南卫视高清,http://ygbh.site/php/bfgd.php?id=086
北京卫视高清,http://ygbh.site/php/bfgd.php?id=083
黑龙江卫视高清,http://ygbh.site/php/bfgd.php?id=095
广东卫视高清,http://ygbh.site/php/bfgd.php?id=092
东方卫视高清,http://ygbh.site/php/bfgd.php?id=093
浙江卫视高清,http://ygbh.site/php/bfgd.php?id=094
江卫视高清,http://ygbh.site/php/bfgd.php?id=094
吉林卫视高清,http://ygbh.site/php/bfgd.php?id=097
安徽卫视高清,http://ygbh.site/php/bfgd.php?id=096
江西卫视高清,http://ygbh.site/php/bfgd.php?id=098
山东卫视高清,http://ygbh.site/php/bfgd.php?id=099
