央视频道,#genre#
CCTV1综合,http://110.42.52.180:6688/live/zb.php?token=ZY-64e4dznSKi0DtLLtuDEWLwBc/q2lX3we0BvZPGC5PikBAv/Q0Ll8711BMLlxXDMgBl/MJeOt&zy.m3u8
CCTV2财经,http://110.42.52.180:6688/live/zb.php?token=ZY-2a41WZxCLy/S1VW1Ko8qgwCUZCt/yz1frUlvgUFQf06dFQp4y/t35UMdmt/Xy7uUhGgqSIL%2B&zy.m3u8
CCTV3综艺,http://110.42.52.180:6688/live/zb.php?token=ZY-b7c8BfxG5vT69JbPcK9s6vF%2BXkV3XvdPJUG9A5ktq9tA201Bvl5p%2BqCDdoDIbuHyIvut0RYz&zy.m3u8
CCTV4中文国际,http://110.42.52.180:6688/live/zb.php?token=ZY-7adciCEphpFG73vr/jML0GHuHxjKrhTDtmGgWsOsftecgakC7RGkiBwcM2RhDw/8lufjukTT&zy.m3u8
CCTV5体育,http://110.42.52.180:6688/live/zb.php?token=ZY-0f3dNJ%2BZD2n7ckmG8kUWKIPlYpwp97jajjUAwSInifp2nyJLvHrU7BeE5tBrXNKbYC5nEAkA&zy.m3u8
CCTV5+体育赛事,http://110.42.52.180:6688/live/zb.php?token=ZY-8b29eESKg0a07lyAUsRjQIGwTfwSG4HTNJseG1XXFJPbX1wlbQb9P6a87sdFq7/oX27b5zc1LQ&zy.m3u8
CCTV6电影,http://110.42.52.180:6688/live/zb.php?token=ZY-ecadTOin/gQRsOf0bx2kW63xQ%2BGKM9EnbBFYtF8qPqaP3vOrdVXu%2BE/vRdkLvQ4POjGj%2Beet&zy.m3u8
CCTV7国防军事,http://110.42.52.180:6688/live/zb.php?token=ZY-41d3HoCL43Y7ktBEr5A%2BXq3UV%2BN2DQuy7fs7wcBNLP4Nz7cXmXOOSCkeQoVpigTKquTovBG1&zy.m3u8
CCTV8电视剧,http://110.42.52.180:6688/live/zb.php?token=ZY-b95eSNL6/Ou1sC7kt4OfJIVap9el%2BI%2B7f2s6fogESnraY173zsVVqDZGZ6Xo7VrPNMmrPzrn&zy.m3u8
CCTV9纪录,http://110.42.52.180:6688/live/zb.php?token=ZY-7344uYPFmJjwvtKgrxE9sJJ21RFr2YeCJL%2BKAmq7bmI3au8bC8kK8066wwqKf3Rkbw07U6mu&zy.m3u8
CCTV10科教,http://110.42.52.180:6688/live/zb.php?token=ZY-6458vfYYM3MsRwbB5pHugX69EMSPbe2/NKNe87lTp%2BKqT/w/tgph%2BG9xwtRIhjhY0iszP6l4EA&zy.m3u8
CCTV11戏曲,http://110.42.52.180:6688/live/zb.php?token=ZY-f593oTDT996ZdoHhPro7v%2B2hinpTwOFkkrRMjsi1RDOl9EXyy/4nzH3Dcgykdrm9uzZPtUrRyg&zy.m3u8
CCTV12社会与法,http://110.42.52.180:6688/live/zb.php?token=ZY-0cbcCsv6ZwJJjZfHRD2UW1qYZq0KPiAV1kIY/006vgxYuWrUQNecsnsGYez6qtB7tDIZ39Dy4Q&zy.m3u8
CCTV13新闻,http://110.42.52.180:6688/live/zb.php?token=ZY-300ckA5T8B/ppATDQ6Z7xvK2Dv8sX873vy44ejDlp5zalYs1yUCful8HGTX66SWDD0xOW8QyMg&zy.m3u8
CCTV14少儿,http://110.42.52.180:6688/live/zb.php?token=ZY-f7366lt%2Bue7swwXaFF8mELkmdT5ntqsllFADPBiYWvu74f1BfvP7oHg63G1GzgGM7Oia4ZtN3A&zy.m3u8
CCTV15音乐,http://110.42.52.180:6688/live/zb.php?token=ZY-a3aciykmyGIkKSwWfDbnmH4NqKLt7qdVjqJvt6wD2zJjm3Q%2BfqRT4Bd7H42cClYZCAwEC2YkMg&zy.m3u8
CCTV16奥林匹克,http://110.42.52.180:6688/live/zb.php?token=ZY-096aSa7b8DuplM3DotqUdgNoEd%2BVEWlVcPQrm8NyXPrFO2RQl8wVoH4q9JYrjvK3TyBmAaBkTQ&zy.m3u8
CCTV17农业农村,http://110.42.52.180:6688/live/zb.php?token=ZY-bb6bHdFiAtYOI/HSGkeZ8/36ekPPicodLrQFWkP9XBAbiskMFjVLV87zVlcludZKy4LJeaApMw&zy.m3u8
CCTV4欧洲,http://110.42.52.180:6688/live/zb.php?token=ZY-32cezlBh%2B24T%2B/hB9784wccBo2XibV9H1NtPjp4TMpRMV2yKIEVvhmVhh6e3Yqc8vAJ/H/ySaOs&zy.m3u8
CCTV4美洲,http://110.42.52.180:6688/live/zb.php?token=ZY-bab1Yabi/QNVLrgc/yA7mYw7FHhYDqbXzKIhpjGYPRu0SjrwPaFpOMOpaXKPa12csHEcpQp36RQ&zy.m3u8
CGTN外语记录,http://110.42.52.180:6688/live/zb.php?token=ZY-e944s30PaemKzLaygtOKic5L0hES/UApLVc62cVVGsH7Dg3gAI8aEi0Su2o0sCg0Zw0CoH5%2BAS90&zy.m3u8
CGTN阿拉伯语,http://110.42.52.180:6688/live/zb.php?token=ZY-54b6kYHFR98aE%2BAOOlldhhDv5aqhUxtTH5mJ/Mzbumr4zFJSBaaKL%2Bnd/0YSOWoV2B/fUbDAkGsW&zy.m3u8
