 央视频道,#genre#
CCTV1综合,http://110.42.52.180:6688/live/zb.php?token=ZY-6ea9EXJybTluTfA0hYdecuh7PlZoGL%2BMq8ri2DfXiIQ7/4engIe71hbqbaxq4FiXfBKOQ5iD&zy.m3u8
CCTV2财经,http://110.42.52.180:6688/live/zb.php?token=ZY-9880GyRHuPhOJK5YiXzWiGqo7WL5MXQW8f6xWwrc5TiaNWHpivUrv/Z4oteJRuTFD%2B%2B9j3KU&zy.m3u8
CCTV3综艺,http://110.42.52.180:6688/live/zb.php?token=ZY-4867m4JUWOmvgij4k4QYGL%2BZvqm%2B2XJkT7VYq4j%2BE4uXuDA0der5bTF2XiYibExT2l%2BpFaKV&zy.m3u8
CCTV4中文国际,http://110.42.52.180:6688/live/zb.php?token=ZY-b9acwiZznZRKZAngcATxf5I6lhXzJfV3vnQ7t0ViOpQCQBhcunv6hLt5Ve7BtKckZ7xgJ55i&zy.m3u8
CCTV5体育,http://110.42.52.180:6688/live/zb.php?token=ZY-64b6fLS3TLHdGeO9CjyrPDD25ftyan1w%2B%2BeO3NV0bUIa0qRAF1WmRrB6jEz1l0UOdz7IJzbM&zy.m3u8
CCTV5+体育赛事,http://110.42.52.180:6688/live/zb.php?token=ZY-386dhk9bdLawFS3Mx3IW7G/M3kp3ib%2BJDmfGYX8Zcry6KF/wnZeHpTFfcAMc6QO0jXN7e7%2BCBA&zy.m3u8
CCTV6电影,http://110.42.52.180:6688/live/zb.php?token=ZY-ecb24KU9aXTswL6Ja9uBSeA3JdJmO1PttqIb5Ko95DNalTY3bJg/jl7LfMd4E9IFh9w2Lxoi&zy.m3u8
CCTV7国防军事,http://110.42.52.180:6688/live/zb.php?token=ZY-588808alQa00ChCPxboDVZRoPH0rxf2OjuPZcyEGHqzYjxF2zMm/eneqw0TBu%2BfGnfM9oPwQ&zy.m3u8
CCTV8电视剧,http://110.42.52.180:6688/live/zb.php?token=ZY-bdbbkQUzIdz7%2BsKneuCVHP3PiQo5ABEXhftNpT/DQbB5fNWJdnkPjqXkic5ZIEMYZXREG8sK&zy.m3u8
CCTV9纪录,http://110.42.52.180:6688/live/zb.php?token=ZY-78e7CMwmKqaJjHZnd0AHyrv6OyeIWpaj2ovbKefDP91GWGuwjmWlBLkZFIkOTJanahupoIjw&zy.m3u8
CCTV10科教,http://110.42.52.180:6688/live/zb.php?token=ZY-d5fdakt6QmrA8tBoNeaX1bfQUUVnXSCjiPZIlW9sX015zyUNU8peBWtZ/%2BHMrdjMtdJmq3t5pA&zy.m3u8
CCTV11戏曲,http://110.42.52.180:6688/live/zb.php?token=ZY-4a42z4APs/SopRVu0BZkk/irz8ZUFoAnbgNRL5G12IZUOMkRGRl2wfd9cvyni6rcVTP7jyXkgg&zy.m3u8
CCTV12社会与法,http://110.42.52.180:6688/live/zb.php?token=ZY-1cc97suZ1/GVYuhCaeqKFqlSJkYmXfN6bplBctg%2BkYCi%2B%2B4mkIXSiPZMeBlcRizd%2BX2/B5bKWQ&zy.m3u8
CCTV13新闻,http://110.42.52.180:6688/live/zb.php?token=ZY-4809I5m4VV9CcDJB5khX66jsDfDmN21dGbSqsI1piuEUmkCLFvuHqnMZwJb90E7RBRUndWnvSg&zy.m3u8
CCTV14少儿,http://110.42.52.180:6688/live/zb.php?token=ZY-dec2OK8H7xPg2Yuz2KBvAPKHAR3iQq7TaIV0fDX%2B7Fit42EW2ltnfvCnBonPmFIMK/C9N/OR7Q&zy.m3u8
CCTV15音乐,http://110.42.52.180:6688/live/zb.php?token=ZY-130a9KhWbgONaEuj9FmXkZGz5Mk584XRbzV2vYIj44%2BDCOE5RnP%2BhLSIx7x0xDY7Be%2BRL8Dauw&zy.m3u8
